Company Name,Owner Name,Email,Phone,Website,City,State,Google Rating,Review Count
Rose Heating,,roseheating@earthlink.net,(503) 283-5183,roseheating.com,Portland,OR,,
AAA Heating and Cooling Inc.,,sales@AAAIAQ.com,(503) 284-2173,aaaheatingandcoolinginc.com,Beaverton,OR,4.9,368
Climate Control,"Eric Beardemphl, Darrin Erdahl",,(503) 461-1001,climatecontrolinc.com,Portland,OR,,
Integrity Air LLC,,,(503) 598-0966,integrityairllc.com,Portland,OR,,
Able Heating & Cooling LLC,Maurice Kelly Wilhite,info@ableheatingandcooling.com,(503) 579-2250,ableheatingandcooling.com,Tigard,OR,,
Western Heating & Cooling,,,(503) 303-0771,westernheating.com,Scappoose,OR,,
Sunset Heating & Cooling,,info@sunsetHC.com,(503) 500-5866,sunsethc.com,Portland,OR,,
Universal HVAC,,info@uhvac.com,(503) 329-6183,uhvac.com,Portland,OR,,
Efficiency Heating & Cooling,Matt Rohman,,(503) 698-5588,eheatcool.com,Milwaukie,OR,4.9,1400
Bruton Comfort Control,,,(503) 626-7477,brutoncomfortcontrol.com,Beaverton,OR,4.9,494
Conrad Heating & Cooling,,support@conradoregon.com,(503) 785-9715,conradoregon.com,Beaverton,OR,,
First Call Heating & Cooling,Kevin Kelly,sales@firstcallheat.com,(971) 328-7474,firstcallheat.com,Oregon City,OR,5.0,1097
Jacobs Heating & Air Conditioning,"Brent Jacobs, Amanda Jacobs, Molly Jacobs",gwenp@jacobsheating.com,(503) 234-7331,jacobsheating.com,Portland,OR,,292
Sky Heating AC Plumbing & Electrical,Travis Smith,csrleads@skyheating.com,(503) 563-2698,skyheating.com,Tualatin,OR,,215
Specialty Heating & Cooling LLC,,,(971) 260-4928,specialtyheating.com,Portland,OR,,
Pro Heating and Cooling Inc.,,,(971) 439-2121,proheatingandcoolinginc.com,Portland,OR,,
Pyramid Heating & Cooling,,,(503) 416-2201,pyramidheating.com,Portland,OR,,
Sun Glow Inc.,,,(503) 253-7789,sunglowinc.com,Portland,OR,,
O'Leary Air,Kevin,,(503) 989-5251,olearyair.com,Hillsboro,OR,5.0,
Century Heating & A/C,,info@centuryheatingpdx.com,(503) 665-6707,centuryheatingpdx.com,Gresham,OR,,150
A-TEMP Heating Cooling & Electrical,,,(503) 650-5014,atempheating.com,Clackamas,OR,,
Hillsboro Heating Ventilation & Air Conditioning,,info@hillsboro.com,(503) 746-7229,hillsboroheating.com,Hillsboro,OR,,
D & R Heating & Air,Roland Gibson Stewart,,(503) 678-2517,,Tigard,OR,,
Oregon Heating & Air Conditioning LLC,Casey Kallgren,,(503) 691-9699,,Beaverton,OR,,
Orbit Heating and Cooling,"Travis Bartling, Jennifer Erts",hello@orbitheatingandcooling.com,(503) 621-4319,orbitheatingandcooling.com,Portland,OR,,
Milwaukie Heating & Cooling Inc.,,,(503) 308-9740,milwaukieheatingandcooling.com,Clackamas,OR,,
Gresham Heating and Air Conditioning,,,(503) 667-7594,greshamheating.com,Wood Village,OR,,
Watts Heating & Cooling,,,(503) 786-2858,wattsheating.com,Milwaukie,OR,,
Wolfer's Home Services,,,(503) 220-1901,wolfersheating.com,Wilsonville,OR,,262
Central Air Heating Cooling & Plumbing,,,(971) 435-7303,centralairpdx.com,Portland,OR,,
PDX Heating & Cooling,,lukenskurt@gmail.com,,pdxheatingcooling.com,Portland,OR,4.9,59
Precision Heating & Cooling,,inquiries@precisionheatingco.com,(503) 784-1270,precisionheatingco.com,Portland,OR,,
Advanced Heating and Air Conditioning Inc.,,,(503) 774-0161,advancedheatinginc.com,Portland,OR,,
The Duct Guys LLC,Kevin W.,kevinw@theductguys.com,(503) 705-1176,theductguys.com,Portland,OR,,
Best Owner Direct HVAC,,,,bestownerdirect.com,Cornelius,OR,4.8,206
